Title,Year,Rating,Directors,Stars,Votes,Gross Worldwide,Production Company,total_minute,Genre_Cleaned,Primary_Language
Romancham,2023,7.5,Jithu Madhavan,"Soubin Shahir,Arjun Ashokan,Chemban Vinod Jose",9100,1544653.0,"Guppy Cinemas, Johnpaul George Productions",130,"Comedy, Horror",Malayalam
Neru,2023,7.5,Jeethu Joseph,Santhi Mayadevi,8900,2093761.0,Aashirvad Cinemas,150,"Drama, Thriller",Malayalam
Pulimurugan,2016,6.6,Vysakh,"Jagapathi Babu,Kamalinee Mukherjee",8900,136052.0,Mulakuppadam Films,161,Action,Malayalam
King of Kotha,2023,6.1,Abhilash Joshiy,"Dulquer Salmaan,Soubin Shahir,Aishwarya Lekshmi",8800,844233.0,"Wayfarer Films, Zee Studios",174,"Crime, Drama, Thriller",Malayalam
A.R.M,2024,7.1,Jithin Lal,"Basil Joseph,Tovino Thomas",8700,1950747.0,"Magic Frames, UGM Entertainment",150,"Comedy, Drama, Fantasy",Malayalam
Thondi Muthalum Driksakshiyum,2017,8.0,Dileesh Pothan,"Fahadh Faasil,Suraj Venjaramoodu,Nimisha Sajayan",8600,803887.0,Urvasi Theaters,135,"Crime, Drama, Thriller",Malayalam
Mumbai Police,2013,7.9,Rosshan Andrrews,Prithviraj Sukumaran,8300,426782.0,Nisad Haneefa Productions,145,"Crime, Mystery, Thriller",Malayalam
The Priest,2021,6.0,Jofin T. Chacko,"Nikhila Vimal,Manju Warrier",8200,110855.0,"Anto Joseph Film Company, RD Illuminations",140,"Horror, Mystery, Thriller",Malayalam
The Great Father,2017,6.8,Haneef Adeni,"Mammootty,Arya,Sneha",8100,1061366.5,August Cinema,151,"Drama, Mystery, Thriller",Malayalam
Take Off,2017,8.1,Mahesh Narayanan,"Parvathy Thiruvothu,Fahadh Faasil,Kunchacko Boban",7700,884267.0,"Anto Joseph Film Company, Rajesh Pillai Films",139,"Action, Drama, Thriller",Malayalam
Spadikam,1995,8.6,Bhadran,"Mohanlal,Thilakan,Urvashi",7400,62313.0,Shogun Films,150,"Action, Drama",Malayalam
Bro Daddy,2022,7.0,Prithviraj Sukumaran,"Prithviraj Sukumaran,Lalu Alex",7300,320366.0,Aashirvad Cinemas,159,"Comedy, Drama, Romance",Malayalam
Android Kunjappan Version 5.25,2019,8.0,Ratheesh Balakrishnan Poduval,"Soubin Shahir,Suraj Venjaramoodu,Kendy Zirdo",7300,10230.0,Moonshot Entertainments,140,"Comedy, Drama, Sci-Fi",Malayalam
Pani,2024,6.9,Joju George,"Joju George,Sagar Surya",3100,913622.0,"ADS Studios, Appu Pathu Pappu Production House, Gokulam Movies",143,"Gangster, Action, Crime",Malayalam
Rorschach,2022,6.9,Nissam Basheer,Grace Antony,7100,2145878.0,"Mammootty Kampany, Wayfarer Films",150,"Action, Mystery, Thriller",Malayalam
Bougainvillea,2024,6.4,Amal Neerad,"Kunchacko Boban,Fahadh Faasil",3200,1206986.0,"Amal Neerad Productions, Udaya Pictures",138,"Crime, Mystery, Thriller",Malayalam
Mukundan Unni Associates,2022,7.9,Abhinav Sunder Nayak,"Vineeth Sreenivasan,Suraj Venjaramoodu,Aarsha Chandini Baiju",6700,44990.0,"Joy Movie Productions, Little Big Films",128,"Comedy, Crime, Drama",Malayalam
Qalb,2024,6.5,Sajid Yahiya,"Ranjith Sajeev,Neha Nazneen",2300,1164.0,"Fragrant Nature, Friday Film House",147,"Feel-Good Romance, Drama, Romance",Malayalam
Brahmastra Part One: Shiva,2022,5.6,Ayan Mukerji,"Amithabh Bachchan,Ranbir Kapoor,Alia Bhatt",114000,50164785.0,"Dharma Productions, Double Negative (DNEG)Prime Focus Studios",167,"Action, Adventure, Fantasy",Hindi
Hera Pheri,2000,8.2,Priyadarshan,"Akshay Kumar,Suniel Shetty,Paresh Rawal",76000,583638.0,A.G. Films,156,"Comedy, Crime, Drama",Hindi
OMG: Oh My God!,2012,8.1,Umesh Shukla,"Paresh Rawal,Akshay Kumar,Mithun Chakraborty",68000,12140087.0,"Grazing Goat Pictures, Playtime Creations, Spice Studios",125,"Comedy, Drama, Fantasy",Hindi
Kahaani,2012,8.1,Sujoy Ghosh,"Vidya Balan,Parambrata Chattopadhyay,Indraneil Sengupta",68000,459234.0,"Boundscript, Pen Movies, Viacom18 Motion Pictures",122,"Mystery, Thriller",Hindi
Chennai Express,2013,6.2,Rohit Shetty,"Deepika Padukone,Shah Rukh Khan",67000,10234653.0,"Red Chillies Entertainment, Redchillies.VFXUTV Motion Pictures",141,"Action, Comedy, Romance",Hindi
Karthikeya 2,2022,7.9,Chandoo Mondeti,"Nikhil Siddharth,Anupama Parameswaran,Srinivasa Reddy",65000,2440029.0,"Abhishek Agarwal Arts, People Media Factory",150,"Fantasy, Mystery, Thriller",Telugu
CU Soon,2020,7.6,Mahesh Narayanan,"Fahadh Faasil,Roshan Mathew,Darshana Rajendran",7000,1061366.5,Fahadh Faasil and Friends,98,"Drama, Mystery, Thriller",Malayalam
Angamaly Diaries,2017,7.9,Lijo Jose Pellissery,"Antony Varghese,Anna Rajan,Binny Rinky Benjamin",6900,661915.0,Friday Film House,132,"Action, Comedy, Thriller",Malayalam
Joseph,2018,8.0,M. Padmakumar,"Joju George,Athmeeya Rajan,Dileesh Pothan",6900,1061366.5,"Appu Pathu Pappu Production House, Dream Shots Cinema",138,"Drama, Mystery, Thriller",Malayalam
Devasuram,1993,8.7,I.V. Sasi,"Mohanlal,Napolean,Revathi",6800,2397623.0,Anugraha Arts,157,"Action, Crime, Drama",Malayalam
Kuruthi,2021,7.5,Manu Warrier,"Prithviraj Sukumaran,Roshan Mathew",6700,100199.5,Prithviraj Productions,122,Thriller,Malayalam
Sunny,2021,6.6,Ranjith Sankar,"Shritha Sivadas,Innocent Vareed Thekkethala",6400,366674.0,Dreams N Beyond Production,93,"Drama, Thriller",Malayalam
Salute,2022,7.0,Rosshan Andrrews,"Dulquer Salmaan,Diana Penty",6300,1061366.5,Wayfarer Films,145,"Drama, Mystery, Thriller",Malayalam
Ennu Ninte Moideen,2015,8.0,R.S. Vimal,"Prithviraj Sukumaran,Parvathy Thiruvothu",6100,481860.0,Newton Movies,166,"Biography, Drama, Romance",Malayalam
Malikappuram,2022,7.4,Vishnu Sasi Shankar,"Unni Mukundan,Saiju Kurup,Deva Nandha",6000,767076.0,"Ann Mega Media Release, Kavya Film Company",121,"Action, Adventure, Drama",Malayalam
Jaya Jaya Jaya Jaya Hei,2022,7.7,Vipin Das,"Darshana Rajendran,Basil Joseph,Aju Varghese",6000,1302293.0,"Cheers Entertainments, Sooper Dooper Films",145,"Comedy, Drama, Family",Malayalam
