Title,Year,Rating,Directors,Stars,Votes,Gross Worldwide,Production Company,total_minute,Genre_Cleaned,Primary_Language
Dear Comrade,2019,7.3,Bharat Kamma,"Vijay Deverakonda,Rashmika Mandanna,Raj Arjun",11000,164714.0,"Mythri Movie Makers, Big Ben Cinemas",169,"Drama, Romance, Sport",Telugu
Ante Sundharaniki,2022,7.6,Vivek Athreya,Nazriya Nazim,9100,3097334.0,Mythri Movie Makers,173,"Comedy, Romance",Telugu
Pindam,2023,6.7,Saikiran Reddy Daida,"Easwari Rao,Srinivas Avasarala",11000,1021.0,Kalaahi Media,158,Horror,Telugu
Kick,2009,7.9,Surender Reddy,Ravi Teja,6300,44478.0,"RR Moviemakers, Raasra Entertainment",155,"Action, Comedy, Crime",Telugu
U Turn,2018,6.9,Pawan Kumar,"Samantha Ruth Prabhu,Bhoomika Chawla",4500,46861.0,"Pawan Kumar Studios, Srinivasaa Silver Screen, V.Y. Combines",128,"Horror, Mystery, Thriller",Telugu
Jaanu,2020,7.0,C. Prem Kumar,"Sai Kiran Kumar,Samantha Ruth Prabhu",1800,1221813.0,"Goldmines Telefilms, Sri Venkateswara Creations",151,"Drama, Romance",Telugu
Karthikeya,2014,7.2,Chandoo Mondeti,"Nikhil Siddharth,Swathi Reddy,Tanikella Bharani",6700,260989.0,"Magnus Cineprime, Sucheta Dream, Works Productions",113,"Mystery, Thriller",Telugu
Maamannan,2023,6.7,Mari Selvaraj,"Fahadh Faasil,Keerthy Suresh",6100,4463992.0,Red Giant Movies,157,"Action, Drama, Thriller",Tamil
The Rose Villa,2021,5.3,"R.J. Hemant,Hemanth Varma","Dheekshith Shetty,Swetaa Varma,Archana Kumar",1700,142987.0,Chitra mandhir studio,75,"Horror, Thriller",Telugu
Vidheyan,1994,8.2,Adoor Gopalakrishnan,"Mammootty,M.R. Gopakumar,Tanvi Azmi",1600,50013.0,General Pictures,112,Drama,Malayalam
Vasantha Mullai,2023,5.6,Ramanan Purushothama,"Bobby Simha,Kashmira Pardeshi,Sarath Babu",1500,1061366.5,"Mudhra's Film Factory, SRT Entertainments",108,"Drama, Mystery, Thriller",Tamil
Wheel Chair Romeo,2022,7.9,Nataraj .G.,"Ram Chetan,Suchendra Prasad,Rangayana Raghu",1500,320366.0,Agasthya Creation,147,"Comedy, Drama, Romance",Kannada
Gaalipata,2008,8.3,Yograj Bhat,"Ganesh,Diganth,Rajesh Krishnan",1500,481860.0,Unknown,146,"Comedy, Musical, Romance",Kannada
Tora Tora,2017,7.1,Harsh Gowda,"Manju Heddur,Saniha Yadav,Pooja Raju",1400,481860.0,Mayavi Productions,118,"Comedy, Family, Sci-Fi",Kannada
Man of the Match,2022,5.9,D. Satya Prakash,"Nataraj S. Bhat,Dharmanna Kadur,Veena Sundar",1400,176169.0,PRK Productions,115,"Comedy, Drama",Kannada
Sri Bharatha Baahubali,2020,4.0,Manju Mandavya,"Achyuth Kumar,Manju Mandavya",1300,126875.5,Aishvarya Film Productions,164,Comedy,Kannada
Family Drama,2024,5.9,Akarsh,"Aashith,Abhay,Abhishek V",1200,481860.0,DMK Entertainment,150,Unknown,Kannada
Thirgusomeese,2021,7.0,Krishna Vijay,"Rajesekhar Aningi,Benarjee,Naveen Neni",1200,31183.0,Sri Srinivas Movies,103,Action,Kannada
Anamadheya Ashok Kumar,2025,7.5,Sagar Kumar,Kishore Kumar,1200,481860.0,SKN Films,104,Unknown,Kannada
Trikona,2022,6.4,Chandrakantha,"Suresh Heblikar,Achyuth Kumar",1200,260989.0,Police Praki Production,125,"Mystery, Thriller",Kannada
Dharani Mandala Madhyadolage,2022,6.4,Shridhar Shikaripura,"Naveen Shankar,Aishani Shetty,Yash Shetty",1200,50013.0,Unknown,149,Drama,Kannada
Vishnu Priya,2025,6.9,V.K. Prakash,"Achyuth Kumar,Shreyas Manju,Suchendra Prasad",1100,616333.0,K Manju Cinemaas,131,"Drama, Romance",Kannada
Namasthe Ghost,2023,6.5,Bharath Nanda,"Chethan Nanjegowda,Shivakumar Aradhya,Shivamogga Harish",1100,1021.0,Chirayu Creative Cinemas,127,Horror,Kannada
Pizza 3: The Mummy,2023,4.8,Mohan Govind,"Kavitha Bharathi,Raveena Daha,Ashwin Kakumanu",1100,1444020.0,Thirukumaran Entertainment,123,"Drama, Horror, Thriller",Tamil
Click,2024,8.5,Shashikumar Mandya,"Silli Lalli Anand,Sanju Basayya,Pavan Basrur",1100,176169.0,Sharanya Films,110,"Comedy, Drama",Kannada
Choo Mantar,2025,7.9,Navaneeth,"Rajani Bharadwaj,Kiran Chandrashekar",1100,1021.0,Tarun Studios,142,Horror,Kannada
Chef Chidambara,2024,5.5,M Anand Raj,"Aniruddha Jatkar,Rachel David,Nidhi Subbaiah",1100,366674.0,Damthi Pictures,105,"Drama, Thriller",Kannada
Am Ah,2025,6.6,Thomas K. Sebastian,"Devadarshini Chetan,Dileesh Pothan,Meera Vasudevan",4700,7014.0,Kaapi Productions,115,Drama,Malayalam
Bhoothakaalam,2022,7.4,Rahul Sadasivan,"Shane Nigam,Saiju Kurup",4700,481860.0,"Anwar Rasheed Entertainment, Plan T Films, Shane Nigam Films",105,"Drama, Horror, Mystery",Malayalam
Footage,2024,5.1,Saiju Sreedharan,"Manju Warrier,Vishak Nair,Gayathri Ashok",2400,3281.0,"Cast n Co Entertainments, Movie Bucket, Pale Blue Dot Films",124,Thriller,Malayalam
Kooman,2022,7.3,Jeethu Joseph,"Asif Ali,Prasant Murali,Jaffer Idukki",3900,286887.0,"Ananya Films, Magic Frames",153,"Drama, Mystery, Thriller",Malayalam
Aattam,2023,8.2,Anand Ekarshi,"Vinay Forrt,Zarin Shihab,Kalabhavan Shajohn",4800,21447.0,Joy Movie Productions,139,"Drama, Mystery, Thriller",Malayalam
Dominic and the Ladies' Purse,2025,7.0,Gautham Vasudev Menon,"Gokul Suresh,Viji Venkatesh",2800,559852.0,Mammootty Kampany,151,"Comedy, Thriller",Malayalam
Guruvayoor Ambalanadayil,2024,6.6,Vipin Das,"Prithviraj Sukumaran,Basil Joseph,Nikhila Vimal",4700,2128793.0,"E4 Entertainment, Prithviraj Productions",132,Comedy,Malayalam
Varane Avashyamund,2020,6.9,Anoop Sathyan,"Suresh Gopi,Kalyani Priyadarshan",3600,694187.0,"M Star Satellite Communications, Wayfarer Films",145,"Comedy, Drama, Romance",Malayalam
Vaazha: Biopic of a Billion Boys,2024,7.3,Anand Menon,"Siju Sunny,Amith Mohan Rajeshwari,Joemon Jyothir",4100,278964.0,"Icon Studios, Imagin Cinemas, WBTS Productions",125,"Comedy, Drama",Malayalam
Curry & Cyanide: The Jolly Joseph Case,2023,6.7,Christo Tomy,Nikhila Henry,4400,481860.0,India Today Originals,98,"Crime, Documentary",Malayalam
Mura,2024,7.2,Muhammed Musthafa,"Suraj Venjaramoodu,Hridhu Haroon,Maala Parvathi",6300,15724.0,HR Pictures,129,"Action, Drama",Malayalam
12th Man,2022,6.8,Jeethu Joseph,"Mohanlal,Sshivada,Chandhunadh",4800,1061366.5,Aashirvad Cinemas,163,"Drama, Mystery, Thriller",Malayalam
Ela Veezha Poonchira,2022,7.3,Shahi Kabir,"Soubin Shahir,Sudhi Koppa,Jude Anthany Joseph",2800,46315.0,"KML Pictures, Kadhaas Untold",104,"Crime, Mystery, Thriller",Malayalam
Churuli,2021,7.0,Lijo Jose Pellissery,"Chemban Vinod Jose,Vinay Forrt,Joju George",5500,62051.5,"Chembosky Motion Pictures, Kasargod Aadmi Pictures, Movie Monastery",120,"Mystery, Sci-Fi, Thriller",Malayalam
Falimy,2023,7.3,Nithish Sahadev,"Basil Joseph,Manju Pillai",3100,29472.0,"Cheers Entertainments, Sooper Dooper Films",125,"Comedy, Drama",Malayalam
Antakshari,2022,6.5,Vipin Das,"Saiju Kurup,Sudhi Koppa,Ishita Singh",1600,185586.0,Sulthan Brothers Entertainment,121,"Crime, Thriller",Malayalam
Level Cross,2024,6.8,Arfaz Ayub,"Asif Ali,Amala Paul",2600,72385.0,Abhishek Films,116,Drama,Malayalam
Saudi Vellakka,2022,8.0,Tharun Moorthy,"Sminu Sijo,Vincy Aloshious",2700,45813.0,Urvasi Theaters,137,Drama,Malayalam
Pada,2022,7.8,Kamal K.M.Vishnu R. Dev,"Kunchacko Boban,Joju George",3200,21064.0,"Digital Turbo Media, E4 Entertainment",130,"Crime, Drama, Thriller",Malayalam
Kaapa,2022,5.9,Shaji Kailas,"Prithviraj Sukumaran,Asif Ali,Anna Ben",6600,381558.0,"Theatre of Dreams, Yoodlee Films",136,"Action, Crime, Thriller",Malayalam
Nadodikkattu,1987,8.8,Sathyan Anthikad,"Mohanlal,Sreenivasan,Shobana",6200,126875.5,Casino Films,158,Comedy,Malayalam
Virus,2019,7.7,Aashiq Abu,"Basil Joseph,Kunchacko Boban,Asif Ali",5700,626930.0,OPM Cinemas,152,"Drama, Thriller",Malayalam
O.Baby,2023,6.7,Ranjan Pramod,"Dileesh Pothan,Shinu Syamalan,Vishnu Agasthya",5100,7870.0,"Colour Pencil Films, Colour Pencil Films, Pakal Films",126,"Action, Drama, Thriller",Malayalam
Malayalee from India,2024,5.6,Dijo Jose Antony,"Anaswara Rajan,Shine Tom Chacko,Nivin Pauly",5000,375140.0,"Magic Frames, Pauly Jr.",160,"Action, Comedy, Drama",Malayalam
Declaration,2022,6.4,Mahesh Narayanan,"Kunchacko Boban,Divya Prabha,Faisal Malik",4900,50013.0,"Moving Narratives, Udaya Studios",107,Drama,Malayalam
Cold Case,2021,6.1,Tanu Balak,"Prithviraj Sukumaran,Aditi Balan,Lakshmi Priyaa Chandramouli",4800,85417.0,Anto Joseph Film Company,139,"Horror, Mystery, Thriller",Malayalam
Oppam,2016,7.3,Priyadarshan,"Mohanlal,Samuthirakani,Anusree",4600,58839.0,Aashirvad Cinemas,143,"Action, Thriller",Malayalam
Action Hero Biju,2016,7.6,Abrid Shine,"Nivin Pauly,Anu Emmanuel,Devi Ajith",4600,24233.0,"Full On Studios, Pauly Jr.",144,"Action, Comedy, Thriller",Malayalam
Oru Canadian Diary,2021,2.1,Seema Sreekumar,"Paul Paulose,Pooja Sebastian",4500,100199.5,Sreem Productions,128,Thriller,Malayalam
Solo,2017,7.0,Bejoy Nambiar,"Dulquer Salmaan,Sai Tamhankar",4500,4090423.0,"Abaam Movies, Getaway Films",154,"Musical, Romance, Thriller",Malayalam
Meppadiyan,2022,7.1,Vishnu Mohan,"Unni Mukundan,Kottayam Ramesh,Saiju Kurup",4400,691981.0,Unni Mukundan Films,124,"Drama, Thriller",Malayalam
Driving Licence,2019,7.2,Jean Paul Lal,"Prithviraj Sukumaran,Suraj Venjaramoodu",4400,495146.0,Prithviraj Productions,135,"Comedy, Drama, Thriller",Malayalam
Rifle Club,2024,7.0,Aashiq Abu,"Anurag Kashyap,Dileesh Pothan",4300,651869.0,"OPM Cinemas, TRU Stories Entertainment",113,"Gun Fu, Action",Malayalam
Abraham Ozler,2024,6.6,Midhun Manuel Thomas,Senthil Krishna,4200,978538.0,"Manual Movie Makers, Neramboku",143,"Drama, Mystery, Thriller",Malayalam
Varshangalkku Shesham,2024,6.6,Vineeth Sreenivasan,"Pranav Mohanlal,Dhyan Sreenivasan,Nivin Pauly",4200,2360316.0,Merryland Cinemas,166,"Drama, Musical, Romance",Malayalam
Malaikottai Vaaliban,2024,6.0,Lijo Jose Pellissery,"Sonalee Kulkarni,Hareesh Peradi",4200,808435.0,"John & Mary Creative, Century Films, Maxlab Cinemas & Entertainment",156,"Fantasy, Thriller, Western",Malayalam
Kala,2021,6.7,Rohith V.S.,"Tovino Thomas,Divya Pillai",4100,60895.0,Juvis Production,130,"Action, Thriller",Malayalam
Muddy,2021,6.1,Pragabhal,"Yuvan Krishna,Ridhaan Krishnas,Suresh Anusha",4000,194871.5,PK7 Creation,137,"Action, Thriller",Malayalam
Madhuraraja,2019,5.9,Vysakh,Jagapathi Babu,4100,1051859.0,Nelson IPE,147,"Action, Comedy, Drama",Malayalam
CBI 5: The Brain,2022,5.6,K. Madhu,Jagathy Sreekumar,4000,66426.0,Swargachitra,162,"Crime, Mystery, Thriller",Malayalam
Paachuvum Albhuthavilakkum,2023,7.3,Akhil Sathyan,"Fahadh Faasil,Viji Venkatesh,Anjana Jayaprakash",3900,312415.0,Full Moon Cinema,171,"Comedy, Drama",Malayalam
Helen,2019,7.7,Mathukutty Xavier,"Anna Ben,Noble Babu Thomas",3900,224613.0,"Big Bang Entertainments, Habit of Life",117,"Drama, Thriller",Malayalam
Thankam,2023,7.1,Saheed ArafathPrinish Prabhakaran,"Biju Menon,Vineeth Sreenivasan,Girish Kulkarni",3900,131028.0,"Fahadh Faasil and Friends, Kailasa Films, Working Class Hero",145,"Crime, Drama",Malayalam
Sweetheart!,2025,5.3,Swineeth S Sukumar,"Gopika Ramesh,Rio Raj",277,1501016.5,YSR Films,144,Romance,Tamil
Virndavani Vairagya,2018,4.9,Ashish Avikunthak,"Prakriti Dutta Muherjee,Sagnik Mukherjee,Debleena Sen",233,50013.0,Ashish Avikunthak Productions,91,Drama,Bengali
Akaal - The Unconquered,2025,7.4,Gippy Grewal,"Gippy Grewal,Nimrat Khaira,Apinderdeep Singh",243,349271.0,"Dharma Productions, Humble Motion Pictures",140,"Action, Drama, History",Punjabi
Jack,2025,5.5,Bommarillu Baskar,"Vaishnavi Chaitanya,Sidhu Jonnalagadda,Prakash Raj",142,41738.0,Sri Venkateswara Cine Chitra,133,Action,Telugu
NKR21,2025,6.2,Pradeep Chilukuri,"Nandamuri Kalyan Ram,Saiee Manjrekar",278,22927.0,"Ashoka Creations, NTR Arts",152,Action,Telugu
Ohm Shanthi Oshaana,2014,7.7,Jude Anthany Joseph,"Nazriya Nazim,Nivin Pauly,Aju Varghese",6600,149229.0,Ananya Films,136,"Comedy, Romance",Malayalam
Oru Vadakkan Veeragatha,1989,8.7,T. Hariharan,"Mammootty,Madhavi,Devan",6600,78.0,Grahalakshmi Productions,168,"Drama, History",Malayalam
Oru CBI Diary Kurippu,1988,8.1,K. Madhu,"Mammootty,Suresh Gopi,Jagathy Sreekumar",6500,260989.0,Sunitha Productions,137,"Mystery, Thriller",Malayalam
Forensic,2020,6.8,Anas KhanAkhil Paul,"Tovino Thomas,Mamta Mohandas,Saiju Kurup",6500,269095.0,"Juvis Production, Ragam Movies",134,"Crime, Mystery, Thriller",Malayalam
Pranchiyettan and the Saint,2010,8.3,Ranjith,Jesse Fox Allen,6500,957.0,Capitol Theatre,140,"Satire, Comedy, Drama",Malayalam
Chithram,1988,8.6,Priyadarshan,"Mohanlal,Nedumudi Venu,Renjini",6500,481860.0,"Shirdi Sai Creations, Shirdi Sai Productions",159,"Comedy, Drama, Musical",Malayalam
Thallumaala,2022,6.9,Khalid Rahman,"Tovino Thomas,Kalyani Priyadarshan,Shine Tom Chacko",6500,2587493.0,"Ashiq Usman Productions, Plan B Motion Pictures",148,"Action, Comedy, Drama",Malayalam
Sandesham,1991,9.0,Sathyan Anthikad,"Thilakan,Sreenivasan,Jayaram",5800,2003486.5,Unknown,138,"Satire, Comedy, Drama",Malayalam
Kali,2016,6.9,Sameer Thahir,"Dulquer Salmaan,Sai Pallavi",5700,35247.0,"Hand Made Films, MG Movies Productions",115,"Action, Drama, Thriller",Malayalam
Njan Prakashan,2018,7.7,Sathyan Anthikad,"Fahadh Faasil,Nikhila Vimal",5600,86540.0,Full Moon Cinema,131,"Comedy, Drama",Malayalam
Nna Thaan Case Kodu,2022,8.0,Ratheesh Balakrishnan Poduval,"Kunchacko Boban,Rajesh Madhavan",6100,1554666.0,"Kunchacko Boban Productions, STK Frames, Udaya Studios",138,"Comedy, Crime, Drama",Malayalam
Neram,2013,7.5,Alphonse Puthren,"Nivin Pauly,Nazriya Nazim,Lalu Alex",5500,987421.0,Winner Bulls Films,117,"Crime, Drama, Thriller",Malayalam
Operation Java,2021,8.0,Tharun MoorthySudhi Maddison,"Balu Varghese,Lukman Avaran",5500,987421.0,V Cinemas,146,"Crime, Drama, Thriller",Malayalam
Traffic,2011,8.1,Rajesh Pillai,"Kunchacko Boban,Sudip Joshy",5500,481860.0,Magic Frames,122,"Adventure, Mystery, Thriller",Malayalam
Nanpakal Nerathu Mayakkam,2022,7.4,Lijo Jose Pellissery,Rajesh Sharma,5400,185102.0,"Amen Movie Monastery, Mammootty Kampany",105,"Comedy, Drama",Malayalam
Memories,2013,8.0,Jeethu Joseph,"Prithviraj Sukumaran,Sreejith Ravi",8300,426782.0,Anantha Vision,132,"Crime, Mystery, Thriller",Malayalam
Kireedam,1989,8.9,Sibi Malayil,Kaviyoor Ponnamma,9200,181001.0,Kripa Films,124,"Action, Drama",Malayalam
Logout,2024,7.2,Amit Golani,"Babil Khan,Rasika Dugal,Gandharv Dewan",721,100199.5,"Viacom18 Studios, Posham Pa Pictures",108,Thriller,Hindi
Yamakaathaghi,2025,6.8,Peppin George Jayaseelan,"Pradeep Durairaj,Geetha Kailasam",211,481860.0,Sarang Brothers,113,"Crime, Horror, Thriller",Tamil
Ghilli,2004,8.2,Dharani,"Joseph Vijay,Trisha Krishnan,Prakash Raj",18000,163961.0,Sri Surya Films,160,"Drama, Romance, Sport",Tamil
Akhanda,2021,6.8,Boyapati Srinu,"Nandamuri Balakrishna,Pragya Jaiswal,Jagapathi Babu",20000,253348.0,Dwaraka Creations,167,"Action, Drama",Telugu
Milana,2007,8.3,Prakash,"Puneeth Rajkumar,Parvathy Thiruvothu,Pooja Gandhi",1400,1501016.5,Unknown,155,Romance,Kannada
Damayanthi,2019,6.2,Navarasan,"Radhika Kumaraswamy,Anusha Rai",1400,481860.0,Sri Lakshmi Vrushadhri Productions,161,"Drama, Horror",Kannada
Seetharama Kalyana,2019,6.2,Harsha,"Nikhil Gowda,Rachita Ram",1400,50013.0,Channambika Films,155,Drama,Kannada
Operation Alamelamma,2017,7.9,Suni,"Manish Rishi,Shraddha Srinath,Rajesh Nataranga",1200,559852.0,"Star, Fab Production",138,"Comedy, Thriller",Kannada
Koli Taal,2021,7.7,Abhilash Shetty,"Prabhakar Kunder,Radha Ramachandra,Ganesh Mogaveera",1200,481860.0,"Gubbi Cinema, Shakti Pictures",92,"Comedy, Drama, Mystery",Kannada
Tiger,2017,6.7,Nanda Kishore,"Pradeep Bogadi,Nyra Banerjee",1200,2155981.5,Inchara Film Factory,155,"Action, Drama, Thriller",Kannada
Jagamerigina Satyam,2025,9.3,Tirupathi Pale,"Neelima Pethakamsetti,Vasudev Rao",2000,50013.0,Amrutha Sathyanarayana Creations,141,Drama,Telugu
Test,2025,5.1,S. Sashikanth,"Madhava,Nayathara,Siddharth",1500,204669.0,Y Not Studios,145,"Drama, Sport",Malayalam
Marana Mass,2025,8.0,Sivaprasad,"Basil Joseph,Tovino Thomas,Siju Sunny",1300,408312.0,"Rapheal Film Productions, Tovino Thomas Productions, Worldwide Films",139,Comedy,Malayalam
Paru Parvathy,2025,6.3,Rohit Keerti,"Poonam sirnaik,Deepika Das,Anthony Mark Mckeon",1100,193.0,Eighteen Thirty Six Pictures,161,Adventure,Kannada
Kora,2025,9.7,Orata shree,"Charishma,M.K. Math,P. Murthy",1000,481860.0,Rathnamma Movies,144,Unknown,Kannada
Santhu Straight Forward,2016,6.5,Mahesh RaoJocky,Radhika Pandit,1000,56591.0,K Manju Cinemaas,159,"Action, Drama, Romance",Kannada
6-5=2,2013,5.6,"K.S. Ashoka,Swarna Latha","Darshan Apoorva,Vijay Chendoor",1100,142987.0,"Swarna, Latha Production",105,"Horror, Thriller",Kannada
Gargi,2022,8.1,Gautham Ramachandran,"Sai Pallavi,Kaali Venkat",7800,366674.0,"2D Entertainment, Blacky Genie & My Left Foot Productions",140,"Drama, Thriller",Tamil
Vaazhai,2024,7.7,Mari Selvaraj,"Dhivya Dhuraisamy,Satish Kumar",4800,611095.0,Navvi Studios,134,Drama,Tamil
Iraivan,2023,4.7,I. Ahmed,"Ravi Mohan,Vijayalakshmi Ahathian",2300,53387.0,Passion Studios,154,"Horror, Mystery, Thriller",Tamil
Jigarthanda Double X,2023,8.0,Karthik Subbaraj,"Raghava Lawrence,Nimisha Sajayan",11000,279408.0,"Five Star Creations, Invenio Origin, Stone Bench Films",172,"Action, Comedy, Drama",Tamil
Madgaon Express,2024,7.0,Kunal Kemmu,"Divyendu Sharma,Pratik Gandhi,Avinash Tiwary",41000,208594.0,Excel Entertainment,143,"Adventure, Comedy, Drama",Hindi
Haider,2014,8.0,Vishal Bhardwaj,"Shahid Kapoor,Shraddha Kapoor",59000,1404307.0,"UTV Motion Pictures, Vishal Bhardwaj Pictures",160,"Crime, Drama, Thriller",Hindi
Shanmukha,2025,3.4,Shanumugam Sappani,"Avika Gor,Krishna Alluri",358,481860.0,Sapbro Productions,121,"Fantasy, Thriller",Telugu
Liger,2022,2.6,Puri Jagannadh,"Vijay Deverakonda,Ananya Panday,Ramya Krishnan",48000,4879486.0,"Dharma Productions, Puri Connects",140,"Drama, Romance, Sport",Hindi
Demonte Colony 2 (Vengeance of the Unholy),2024,6.6,R. Ajay Gnanamuthu,"V J Archana,Arulnithi,C. Arunpandian",4400,142987.0,"BTG Universal, Gnanamuthu Pattarai, Raaj Varma Entertainment",144,"Horror, Thriller",Tamil
Saaho,2019,5.1,Sujeeth,"Shraddha Kapoor,Jackie Shroff",25000,5708522.0,"UV Creations, SVO Special Vehicle Operations, T-Series Films",170,"Action, Thriller",Hindi
